Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
29/02/2020,Ogun,1,0,0
01/03/2020,Ogun,1,0,0
02/03/2020,Ogun,1,0,0
03/03/2020,Ogun,1,0,0
04/03/2020,Ogun,1,0,0
05/03/2020,Ogun,1,0,0
06/03/2020,Ogun,1,0,0
07/03/2020,Ogun,1,0,0
08/03/2020,Ogun,1,0,0
09/03/2020,Ogun,2,0,0
10/03/2020,Ogun,2,0,0
11/03/2020,Ogun,2,0,0
12/03/2020,Ogun,2,0,0
13/03/2020,Ogun,2,0,0
14/03/2020,Ogun,2,0,0
15/03/2020,Ogun,2,0,0
16/03/2020,Lagos,1,0,0
16/03/2020,Ogun,2,1,0
17/03/2020,Lagos,1,0,0
17/03/2020,Ogun,2,1,0
18/03/2020,Lagos,5,0,0
18/03/2020,Ogun,2,1,0
18/03/2020,Ekiti,1,0,0
19/03/2020,Lagos,9,0,0
19/03/2020,Ogun,2,1,0
19/03/2020,Ekiti,1,0,0
20/03/2020,Lagos,9,0,0
20/03/2020,Ogun,2,1,0
20/03/2020,Ekiti,1,0,0
21/03/2020,FCT,3,0,0
21/03/2020,Lagos,19,0,0
21/03/2020,Ogun,2,2,0
21/03/2020,Ekiti,1,0,0
22/03/2020,Ekiti,1,0,0
22/03/2020,FCT,4,0,0
22/03/2020,Lagos,22,0,0
22/03/2020,Ogun,2,2,0
22/03/2020,Oyo,1,0,0
23/03/2020,Edo,1,0,0
23/03/2020,Ekiti,1,0,0
23/03/2020,FCT,6,0,1
23/03/2020,Lagos,25,0,0
23/03/2020,Ogun,2,2,0
23/03/2020,Oyo,1,0,0
24/03/2020,Bauchi,1,0,0
24/03/2020,Edo,1,0,0
24/03/2020,Ekiti,1,0,0
24/03/2020,FCT,8,0,1
24/03/2020,Lagos,29,0,0
24/03/2020,Ogun,3,2,0
24/03/2020,Oyo,1,0,0
25/03/2020,Bauchi,1,0,0
25/03/2020,Edo,1,0,0
25/03/2020,Ekiti,1,0,0
25/03/2020,FCT,10,0,1
25/03/2020,Lagos,32,0,0
25/03/2020,Ogun,3,2,0
25/03/2020,Osun,1,0,0
25/03/2020,Oyo,1,0,0
25/03/2020,Rivers,1,0,0
26/03/2020,Bauchi,2,0,0
26/03/2020,Edo,1,0,0
